cenário,método,MAE,RMSE,MAE_kW,RMSE_kW,MRE
pontual 50%,último valor (ffill),0.43485909700393677,0.6901565194129944,53.99723434448242,215.51930236816406,0.16209393739700317
pontual 50%,interpolação linear,0.2696673274040222,0.41267067193984985,33.021183013916016,119.80831909179688,0.09912607073783875
bloco 10%,BERT,0.16035567224025726,0.26299721002578735,17.041790008544922,57.61907196044922,0.05212469771504402
bloco 10%,BERT+FFT (padrão),0.1559130996465683,0.25623619556427,16.499074935913086,55.86628723144531,0.050464726984500885
bloco 10%,BERT+FFT (segmentada),0.15624113380908966,0.25658828020095825,16.56188201904297,56.43258285522461,0.05065683275461197
bloco 10%,SAITS (DMSA+ORT),0.15753450989723206,0.2589462101459503,16.666301727294922,56.362327575683594,0.050976209342479706
bloco 10%,SAITS-FFT (padrão),0.15634562075138092,0.25554385781288147,16.603023529052734,56.400794982910156,0.050782669335603714
bloco 10%,SAITS-FFT (segmentada),0.15670613944530487,0.2563585638999939,16.67910385131836,56.674285888671875,0.05101536959409714
bloco 10%,média da janela,0.7883704900741577,0.9344150424003601,106.61819458007812,310.1080017089844,0.3261066675186157
bloco 10%,último valor (ffill),0.7727970480918884,1.1011674404144287,107.85781860351562,403.45074462890625,0.32989823818206787
bloco 10%,interpolação linear,0.5660394430160522,0.8192193508148193,73.38412475585938,274.4500732421875,0.22445560991764069
bloco 25%,BERT,0.16277441382408142,0.2593808174133301,17.387039184570312,63.28924560546875,0.05303656682372093
bloco 25%,BERT+FFT (padrão),0.15868113934993744,0.2530198395252228,16.763917922973633,60.21809768676758,0.0511358268558979
bloco 25%,BERT+FFT (segmentada),0.15888313949108124,0.2527037262916565,16.757909774780273,59.30390167236328,0.05111750215291977
bloco 25%,SAITS (DMSA+ORT),0.1598959118127823,0.25442448258399963,17.057558059692383,61.937686920166016,0.052031535655260086
bloco 25%,SAITS-FFT (padrão),0.15902595221996307,0.25373777747154236,16.804874420166016,60.575408935546875,0.05126075819134712
bloco 25%,SAITS-FFT (segmentada),0.15903300046920776,0.25325340032577515,16.865097045898438,60.6834716796875,0.051444463431835175
bloco 25%,média da janela,0.7987185716629028,0.9445580840110779,105.93229675292969,300.28167724609375,0.32313066720962524
bloco 25%,último valor (ffill),0.7808647751808167,1.1090141534805298,102.81620025634766,379.10693359375,0.3136254549026489
bloco 25%,interpolação linear,0.5756059288978577,0.8321355581283569,72.9034423828125,261.01116943359375,0.22238107025623322
bloco 50%,BERT,0.17373903095722198,0.2794380784034729,18.582304000854492,59.828922271728516,0.05568506941199303
bloco 50%,BERT+FFT (padrão),0.17086158692836761,0.27535009384155273,18.090946197509766,58.08753967285156,0.05421262979507446
bloco 50%,BERT+FFT (segmentada),0.16982460021972656,0.2732756435871124,18.031574249267578,57.23733139038086,0.05403470993041992
bloco 50%,SAITS (DMSA+ORT),0.1708684116601944,0.2751671075820923,18.307552337646484,59.625213623046875,0.054861728101968765
bloco 50%,SAITS-FFT (padrão),0.170779287815094,0.27559757232666016,18.173921585083008,59.05546569824219,0.0544612817466259
bloco 50%,SAITS-FFT (segmentada),0.1711200326681137,0.2772604823112488,18.16588020324707,58.838253021240234,0.05443718656897545
bloco 50%,média da janela,0.7971876859664917,0.9492642283439636,107.64122009277344,305.614501953125,0.3225654065608978
bloco 50%,último valor (ffill),0.7863721251487732,1.1161606311798096,101.02639770507812,350.59442138671875,0.30274295806884766
bloco 50%,interpolação linear,0.5758362412452698,0.8318451642990112,72.46124267578125,244.97036743164062,0.21714256703853607
